otu	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Otu0042	19.454320790816322	5.964141185412819e-5	2	Kruskal-Wallis rank sum test	0.007885782600698915	2.2990619827110538e-5	0	9.482984484806382e-4
Otu0001	19.302173297465657	6.435559709683284e-5	2	Kruskal-Wallis rank sum test	4.368217767151002e-4	0.7565293360308993	0.5493838513886334	9.745276131806115e-4
Otu0013	19.145647321428566	6.95945943716399e-5	2	Kruskal-Wallis rank sum test	0.019473054993562628	2.2990619827110538e-5	0	0.0010059582277355222
Otu0037	18.961334309508565	7.631300758200067e-5	2	Kruskal-Wallis rank sum test	0.0032186867757954753	0	2.627499408812633e-5	0.0010234886622005565
Otu0134	18.937071565670422	7.724442733589106e-5	2	Kruskal-Wallis rank sum test	8.96634173257311e-4	0	2.627499408812633e-5	0.0010234886622005565
Otu0044	18.324047331666524	1.0495029867389065e-4	2	Kruskal-Wallis rank sum test	0.002207099503402612	2.2990619827110538e-5	2.627499408812633e-5	0.0013349677991318892
Otu0070	17.307799702159343	1.74445209538255e-4	2	Kruskal-Wallis rank sum test	0.0030807430568328123	0	0	0.0018010296331473958
Otu0077	17.320696721311474	1.733239171519756e-4	2	Kruskal-Wallis rank sum test	0.0016553246275519587	0	0	0.0018010296331473958
Otu0084	17.307799702159343	1.74445209538255e-4	2	Kruskal-Wallis rank sum test	0.0031267242964870333	0	0	0.0018010296331473958
Otu0086	17.34654850746269	1.7109796791464838e-4	2	Kruskal-Wallis rank sum test	5.747654956777635e-4	0	0	0.0018010296331473958
Otu0116	17.294921875	1.755720711558782e-4	2	Kruskal-Wallis rank sum test	0.0028278462387345965	0	0	0.0018010296331473958
Otu0274	17.320696721311474	1.733239171519756e-4	2	Kruskal-Wallis rank sum test	0.0024599963215008276	0	0	0.0018010296331473958
Otu0009	16.892857142857146	2.1466571120880981e-4	2	Kruskal-Wallis rank sum test	0.03632517932683465	6.897185948133162e-5	1.0509997635250532e-4	0.0021332405051375475
Otu0051	15.688524590163926	3.9199467788813365e-4	2	Kruskal-Wallis rank sum test	0.004598123965422108	4.5981239654221075e-5	0	0.00366630316377725
