otu	statistic	p.value	method	alternative	p.value.adj
Porphyromonadaceae (OTU 2212)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Lachnospiraceae (OTU 2275)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Porphyromonadaceae (OTU 2311)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Porphyromonadaceae (OTU 2383)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Porphyromonadaceae (OTU 2395)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Porphyromonadaceae (OTU 2407)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Porphyromonadaceae (OTU 2419)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Ruminococcaceae (OTU 2421)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Porphyromonadaceae (OTU 2426)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Porphyromonadaceae (OTU 2455)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Porphyromonadaceae (OTU 2543)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Porphyromonadaceae (OTU 2562)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Odoribacter (OTU 2579)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Ruminococcaceae (OTU 2608)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Clostridiales (OTU 2609)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Porphyromonadaceae (OTU 2644)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Porphyromonadaceae (OTU 2666)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Lachnospiraceae (OTU 2753)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Lachnospiraceae (OTU 2815)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Lachnospiraceae (OTU 2856)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Lachnospiraceae (OTU 2871)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Clostridiales (OTU 2890)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Clostridiales (OTU 2910)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Lachnospiraceae (OTU 2963)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Porphyromonadaceae (OTU 3001)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Parabacteroides (OTU 3065)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Fusobacterium (OTU 3068)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Porphyromonadaceae (OTU 3113)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Lactobacillaceae (OTU 3131)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Lactobacillus (OTU 3176)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Butyricimonas (OTU 3185)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Dactylosporangium (OTU 3207)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Bacteroidetes (OTU 3246)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Bacteroidetes (OTU 3247)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Bacteroidetes (OTU 3248)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Bacteroidetes (OTU 3259)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Bacteroidetes (OTU 3260)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Bacteroidetes (OTU 3263)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Bacteroidetes (OTU 3265)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Porphyromonadaceae (OTU 3278)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Veillonella (OTU 3393)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Clostridia (OTU 3431)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Adhaeribacter (OTU 3457)	1	1	Wilcoxon signed rank test with continuity correction	two.sided	1
Porphyromonadaceae (OTU 54)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bilophila (OTU 137)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridium (OTU 172)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteroides (OTU 253)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 264)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 324)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridium (OTU 329)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 411)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 417)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 428)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Subdoligranulum (OTU 429)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 478)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 484)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Firmicutes (OTU 485)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 505)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Streptococcus (OTU 512)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Coriobacteriaceae (OTU 513)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 514)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Akkermansia (OTU 515)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 522)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 529)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 532)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 534)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 553)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteroides (OTU 560)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 571)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Anaeroplasma (OTU 572)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Candidatus_Saccharibacteria (OTU 574)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 576)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Roseburia (OTU 581)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Firmicutes (OTU 582)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 585)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 587)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Turicibacter (OTU 588)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 591)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 596)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 601)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Escherichia/Shigella (OTU 610)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Akkermansia (OTU 614)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Akkermansia (OTU 616)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Firmicutes (OTU 617)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 618)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Firmicutes (OTU 625)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteroides (OTU 637)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Akkermansia (OTU 638)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 639)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 640)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Anaeroplasma (OTU 641)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 646)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Enterorhabdus (OTU 647)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 648)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Akkermansia (OTU 651)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 652)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Anaeroplasma (OTU 655)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Veillonellaceae (OTU 657)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 662)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridia (OTU 663)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 664)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 665)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Streptococcus (OTU 668)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteroides (OTU 672)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Prevotella (OTU 673)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bradyrhizobium (OTU 674)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Akkermansia (OTU 677)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 681)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 682)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 683)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 686)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Porphyromonadaceae (OTU 689)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 691)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 698)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Firmicutes (OTU 700)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 701)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 703)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 707)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 709)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Erysipelotrichaceae (OTU 710)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Micrococcus (OTU 711)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridium (OTU 712)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 713)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Mucispirillum (OTU 714)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 715)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Firmicutes (OTU 716)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 718)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Porphyromonadaceae (OTU 719)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 723)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 726)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Firmicutes (OTU 727)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 729)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Geobacillus (OTU 730)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridium (OTU 733)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 735)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 738)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 739)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Porphyromonadaceae (OTU 740)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 743)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 744)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteroides (OTU 745)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 746)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 747)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 749)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 750)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ralstonia (OTU 751)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 752)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lactobacillales (OTU 755)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 758)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Listeria (OTU 759)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Betaproteobacteria (OTU 760)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Pseudomonas (OTU 761)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 763)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Olsenella (OTU 764)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 766)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Enterococcaceae (OTU 768)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 770)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Anaeroplasma (OTU 773)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Firmicutes (OTU 779)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Parabacteroides (OTU 780)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Firmicutes (OTU 781)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 782)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteroides (OTU 785)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 787)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 788)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteroides (OTU 791)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 792)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 794)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteroides (OTU 795)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridium_sensu (OTU 797)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 798)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 799)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Firmicutes (OTU 800)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteroides (OTU 801)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Oscillibacter (OTU 802)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Escherichia/Shigella (OTU 803)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 804)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Porphyromonadaceae (OTU 805)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteroides (OTU 806)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Chitinophagaceae (OTU 809)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 810)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 813)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Acetatifactor (OTU 814)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 816)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 817)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Enhydrobacter (OTU 818)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 819)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 822)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Weissella (OTU 823)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lactobacillales (OTU 824)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Butyricimonas (OTU 826)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 828)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Jeotgalicoccus (OTU 829)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Butyricimonas (OTU 833)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lactobacillus (OTU 834)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 835)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridium (OTU 836)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 837)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 838)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Firmicutes (OTU 839)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Corynebacterium (OTU 845)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Desulfovibrionales (OTU 846)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteroides (OTU 848)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Porphyromonadaceae (OTU 849)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 850)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Parabacteroides (OTU 852)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Paracoccus (OTU 853)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Akkermansia (OTU 856)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 858)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 861)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Alishewanella (OTU 862)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Acetatifactor (OTU 864)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 866)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Pseudomonas (OTU 867)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 870)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 872)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 873)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Akkermansia (OTU 875)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 876)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Mucispirillum (OTU 877)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Parabacteroides (OTU 879)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 880)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 881)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 882)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 887)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Porphyromonadaceae (OTU 891)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Porphyromonadaceae (OTU 894)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Sphingomonas (OTU 895)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 900)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Butyricimonas (OTU 902)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Gordonibacter (OTU 903)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 904)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Mucispirillum (OTU 905)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 909)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 912)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 913)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 914)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 915)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 916)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 917)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 918)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteroides (OTU 919)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 920)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 921)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 922)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Staphylococcaceae (OTU 926)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Turicibacter (OTU 927)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Porphyromonadaceae (OTU 928)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 930)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Porphyromonadaceae (OTU 931)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Porphyromonadaceae (OTU 932)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 933)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 934)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 936)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Parabacteroides (OTU 937)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Akkermansia (OTU 938)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridium_sensu (OTU 942)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Akkermansia (OTU 944)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 945)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 946)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteroides (OTU 948)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Parasutterella (OTU 949)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 950)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 953)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridium (OTU 954)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 955)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Brevibacterium (OTU 956)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 957)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 959)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Alistipes (OTU 961)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 962)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 963)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 964)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Akkermansia (OTU 965)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Firmicutes (OTU 966)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Ruminococcaceae (OTU 967)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lactobacillales (OTU 968)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Clostridiales (OTU 969)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 971)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 972)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 973)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 975)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Lachnospiraceae (OTU 976)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
Bacteria (OTU 977)	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	NaN
