otu	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Otu0108	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	0	0.14447956555449662
Otu0112	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	0.005701673717123414	0	0	0.14447956555449662
Otu0127	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	5.780498699387793e-4	0	0	0.14447956555449662
Otu0138	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	3.9412491132189494e-4	0	0	0.14447956555449662
Otu0140	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.00394124911321895	0	0	0.14447956555449662
Otu0141	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	3.6784991723376866e-4	0	0	0.14447956555449662
Otu0144	7.179194352159466	0.027609449930354565	2	Kruskal-Wallis rank sum test	0.001418849680758822	0	1.149530991355527e-4	0.14447956555449662
Otu0151	7.327734353345543	0.02563319272119432	2	Kruskal-Wallis rank sum test	5.254998817625266e-4	6.130831953896143e-5	0	0.14447956555449662
Otu0153	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	6.568748522031583e-4	0	0	0.14447956555449662
Otu0163	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	2.3647494679313695e-4	0	0	0.14447956555449662
Otu0169	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	6.831498462912845e-4	0	0	0.14447956555449662
Otu0178	7.179194352159466	0.027609449930354565	2	Kruskal-Wallis rank sum test	0.009590372842166111	0	2.2990619827110538e-5	0.14447956555449662
Otu0181	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	0	0.14447956555449662
Otu0184	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	4.466748994981476e-4	0	0	0.14447956555449662
Otu0191	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.021519220158175464	0	0	0.14447956555449662
Otu0193	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.0010247247694369268	0	0	0.14447956555449662
Otu0221	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	2.627499408812633e-4	0	0	0.14447956555449662
Otu0222	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.0012086497280538113	0	0	0.14447956555449662
Otu0223	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	1.0509997635250532e-4	0	0	0.14447956555449662
Otu0228	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.0043353740245408445	0	0	0.14447956555449662
Otu0246	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	1.5764996452875796e-4	0	0	0.14447956555449662
Otu0260	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.005097348853096508	0	0	0.14447956555449662
Otu0274	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.0014713996689350744	0	0	0.14447956555449662
Otu0282	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.007961323208702279	0	0	0.14447956555449662
