family	statistic	p.value	parameter	method	-1	0	1	2	3	4	5	6	7	8	9	p.value.adj
Unclassified	32.17219689571463	3.7481657964296165e-4	10	Kruskal-Wallis rank sum test	0.01285175648335479	1.3794371896266324e-4	2.627499408812633e-5	0	0	7.619748285556635e-4	0.003195696155968365	0.0031267242964870333	0.002350152248993522	3.2186867757954754e-4	0.0019414301187337787	0.00107447419497649
Bacteroidetes unclassified	30.97368421052627	5.926255752945063e-4	10	Kruskal-Wallis rank sum test	9.196247930844215e-5	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.0015926812336039856
Erysipelotrichaceae	29.907038366183084	8.871503672572692e-4	10	Kruskal-Wallis rank sum test	0.034279014162221816	0.0016783152473790694	0.012033947292361858	0.024921831892587825	0.010046900864447305	0.03176646785254473	0.013955306235056097	0.012717097138653145	0.013487830298571516	0.031037336766599227	0.03226861218400671	0.0022439685760036808
Bacteroidales unclassified	26.86215625779667	0.0027383301854097095	10	Kruskal-Wallis rank sum test	0.007793820121390472	2.2990619827110538e-5	0	0	0	0	0	0	0	0	2.0436106512987143e-5	0.006541566554034306
Deferribacteraceae	22.247673248529185	0.013891397339762359	10	Kruskal-Wallis rank sum test	0	4.5981239654221075e-5	0	0	0	1.0509997635250532e-4	0	0	0	0	1.2261663907792289e-4	0.03143842555840955
Lactobacillales unclassified	21.218100716046457	0.01962303565067564	10	Kruskal-Wallis rank sum test	0	1.149530991355527e-4	1.0509997635250532e-4	0	0	2.627499408812633e-5	0	0	0	0	0	0.04218952664895262
Streptococcaceae	18.7285176837827	0.04384953173526849	10	Kruskal-Wallis rank sum test	0	0	7.8824982264379e-5	9.196247930844215e-5	2.2990619827110538e-5	7.882498226437898e-5	9.196247930844215e-5	2.627499408812633e-5	4.0872213025974286e-5	0	0	0.08978713641031166
Veillonellaceae	13.846153846153731	0.18012537805729603	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	4.5981239654221075e-5	0	0	0	2.0436106512987143e-5	0.3520632389301695
Betaproteobacteria unclassified	12.500000000000274	0.2529853233092815	10	Kruskal-Wallis rank sum test	0	0	0	3.0654159769480714e-5	0	0	0	0	0	0	0	0.45326537092912933
Burkholderiaceae	12.500000000000274	0.2529853233092815	10	Kruskal-Wallis rank sum test	0	0	0	3.0654159769480714e-5	0	0	0	0	0	0	0	0.45326537092912933
Enterococcaceae	11.671906789171485	0.3076144644684246	10	Kruskal-Wallis rank sum test	2.2990619827110538e-5	6.897185948133162e-5	0	0.03062350560971124	9.196247930844215e-5	2.627499408812633e-5	2.2990619827110538e-5	0	0	0	0	0.5290968788856903
Bacteroidaceae	11.175007487610813	0.34404692319109403	10	Kruskal-Wallis rank sum test	0.02600239102446202	8.276623137759794e-4	0.11051262513465936	0.2768070627184109	0.47526209306602907	0.26540371528416407	0.2944638587456318	0.2185554008250348	0.25667749780311855	0.3591594629391208	0.1518402713914945	0.547926581378409
Desulfovibrionaceae	11.285307285307299	0.3357262829319833	10	Kruskal-Wallis rank sum test	0	0	2.627499408812633e-5	0	0	2.627499408812633e-5	0	0	0	0	6.130831953896143e-5	0.547926581378409
Actinomycetales unclassified	10.571428571427825	0.3918667295871087	10	Kruskal-Wallis rank sum test	0	0	2.627499408812633e-5	0	0	0	0	0	0	0	0	0.5810437714567475
Bacillales unclassified	10.571428571427825	0.3918667295871087	10	Kruskal-Wallis rank sum test	0	0	0	0	0	2.627499408812633e-5	0	0	0	0	0	0.5810437714567475
Bradyrhizobiaceae	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.5887415190031979
Brevibacteriaceae	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.5887415190031979
Burkholderiales incertae sedis	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.5887415190031979
Burkholderiales unclassified	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.5887415190031979
Caulobacteraceae	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.5887415190031979
Clostridiaceae 1	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0	0	0	0	0	0	0	0	0.5887415190031979
Coxiellaceae	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.5887415190031979
Gp6 unclassified	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.5887415190031979
Sutterellaceae	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	2.2990619827110538e-5	0	0	0	0	0	0	0	0	0	0.5887415190031979
Staphylococcaceae	8.960216998191568	0.5358832608412615	10	Kruskal-Wallis rank sum test	0	2.2990619827110538e-5	2.627499408812633e-5	0	0	0	0	0	0	0	0	0.5908456465685704
Prevotellaceae	8.255289845999842	0.6039160078395239	10	Kruskal-Wallis rank sum test	6.897185948133162e-5	6.897185948133162e-5	2.627499408812633e-5	0	0	1.839249586168843e-4	0	0	0	0	2.0436106512987143e-5	0.6361816629659011
Pseudomonadaceae	8.227848101265812	0.6065918181767893	10	Kruskal-Wallis rank sum test	2.2990619827110538e-5	2.2990619827110538e-5	0	0	0	0	0	0	0	0	0	0.6361816629659011
Leuconostocaceae	7.999999999999709	0.6288369351799019	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	2.0436106512987143e-5	0.6438092431603757
Corynebacteriaceae	7.672569444444684	0.6607850360176967	10	Kruskal-Wallis rank sum test	0	0	0	0	6.897185948133162e-5	0	0	0	0	0	2.0436106512987143e-5	0.6607850360176967
Acetobacteraceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Acidaminococcaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Aerococcaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Alphaproteobacteria unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Alteromonadaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Bacillaceae 1	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Bacilli unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Candidatus Saccharibacteria unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Catabacteriaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Chitinophagaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Clostridiales Incertae Sedis XI	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
