otu	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Otu0187	8.274956217162858	0.015963057883832427	2	Kruskal-Wallis rank sum test	4.598123965422108e-4	0	0	0.04560873681094979
Otu0190	8.274956217162858	0.015963057883832427	2	Kruskal-Wallis rank sum test	0.0050885905217338	0	0	0.04560873681094979
Otu0222	8.274956217162858	0.015963057883832427	2	Kruskal-Wallis rank sum test	0.010177181043467598	0	0	0.04560873681094979
Otu0227	8.274956217162858	0.015963057883832427	2	Kruskal-Wallis rank sum test	0.009564097848077983	0	0	0.04560873681094979
Otu0228	8.274956217162858	0.015963057883832427	2	Kruskal-Wallis rank sum test	0.005272515480350683	0	0	0.04560873681094979
Otu0239	8.289473684210513	0.015847605825215116	2	Kruskal-Wallis rank sum test	2.1457911838636504e-4	0	0	0.04560873681094979
Otu0250	8.33333333333332	0.015503853599009425	2	Kruskal-Wallis rank sum test	9.196247930844215e-5	0	0	0.04560873681094979
Otu0259	8.33333333333332	0.015503853599009425	2	Kruskal-Wallis rank sum test	9.196247930844215e-5	0	0	0.04560873681094979
Otu0289	8.274956217162858	0.015963057883832427	2	Kruskal-Wallis rank sum test	0.006406719391821469	0	0	0.04560873681094979
Otu0293	8.274956217162858	0.015963057883832427	2	Kruskal-Wallis rank sum test	2.758874379253265e-4	0	0	0.04560873681094979
Otu0459	8.274956217162858	0.015963057883832427	2	Kruskal-Wallis rank sum test	0.001532707988474036	0	0	0.04560873681094979
Otu0467	8.289473684210513	0.015847605825215116	2	Kruskal-Wallis rank sum test	3.065415976948072e-4	0	0	0.04560873681094979
Otu0493	8.289473684210513	0.015847605825215116	2	Kruskal-Wallis rank sum test	1.532707988474036e-4	0	0	0.04560873681094979
Otu0567	8.289473684210513	0.015847605825215116	2	Kruskal-Wallis rank sum test	6.130831953896144e-4	0	0	0.04560873681094979
Otu0886	8.289473684210513	0.015847605825215116	2	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	0	0.04560873681094979
Otu0028	8.065792326035128	0.017722927068083365	2	Kruskal-Wallis rank sum test	0.0019312120654772851	5.254998817625266e-5	0.0017702777266875116	0.05008653301849647
Otu0279	7.580326460481109	0.022591913866599724	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	2.758874379253265e-4	0.06316018930447236
Otu0014	7.515870429006023	0.023331865971757973	2	Kruskal-Wallis rank sum test	0.01704371283183128	0.0012349247221419375	0.008368585617068236	0.06453494843252205
Otu0031	6.61852867366856	0.03654304724142959	2	Kruskal-Wallis rank sum test	0.00815400649868187	0.0017341496098163378	0.0031956961559683646	0.10001255034496519
Otu0189	6.586715867158677	0.03712896324142342	2	Kruskal-Wallis rank sum test	0.0027588743792532648	1.3137497044063165e-4	2.2990619827110538e-5	0.1005576087788551
Otu0027	6.19047619047621	0.045264233978586456	2	Kruskal-Wallis rank sum test	8.276623137759793e-4	0	0.002735883759426154	0.12132681272610801
Otu0233	6.026045777426999	0.049142900484446264	2	Kruskal-Wallis rank sum test	0.005793636196431856	2.627499408812633e-5	0	0.13037912373424518
Otu0202	5.813547025458398	0.05465177897555496	2	Kruskal-Wallis rank sum test	2.1457911838636504e-4	2.627499408812633e-5	0	0.14125451216605422
Otu0207	5.805506158203268	0.05487194511065953	2	Kruskal-Wallis rank sum test	2.4523327815584577e-4	2.627499408812633e-5	0	0.14125451216605422
Otu0608	5.813547025458398	0.05465177897555496	2	Kruskal-Wallis rank sum test	2.1457911838636504e-4	2.627499408812633e-5	0	0.14125451216605422
Otu0002	5.360818426856147	0.06853510293078703	2	Kruskal-Wallis rank sum test	9.196247930844216e-5	0.006857773457000973	4.5981239654221075e-5	0.1483018647945316
Otu0089	5.264522821576758	0.07191564739166142	2	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	4.5981239654221075e-5	0.1483018647945316
Otu0110	5.478821362799267	0.06460841061435257	2	Kruskal-Wallis rank sum test	3.985040770032493e-4	0	4.5981239654221075e-5	0.1483018647945316
Otu0118	5.263157894736828	0.07196474394172347	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.1483018647945316
Otu0162	5.249999999999986	0.07243975703425198	2	Kruskal-Wallis rank sum test	7.970081540064986e-4	0	0	0.1483018647945316
Otu0183	5.263157894736828	0.07196474394172347	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.1483018647945316
Otu0201	5.249999999999986	0.07243975703425198	2	Kruskal-Wallis rank sum test	9.196247930844215e-5	0	0	0.1483018647945316
