otu	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Lachnospiraceae (OTU 90)	20.655466052934436	9.408828917150374e-4	5	Kruskal-Wallis rank sum test	0	0	0.01313224204524554	0.0011298247457894321	0	0	0.0156866337884101
Ruminococcaceae (OTU 180)	20.633088394207903	9.500653034703289e-4	5	Kruskal-Wallis rank sum test	0.0017656796027220895	0.0011444219647272801	0	4.7294989358627395e-4	4.5981239654221075e-5	0	0.0156866337884101
Clostridiales (OTU 160)	20.41939349918282	0.0010423178073252896	5	Kruskal-Wallis rank sum test	0	0	7.356998344675372e-5	0.002548674426548254	0	0.0017078746157282113	0.01683569849658022
Lachnospiraceae (OTU 85)	20.277462177838917	0.0011084059129343668	5	Kruskal-Wallis rank sum test	0	1.2261663907792289e-4	0	1.57649964528758e-4	0.02220893875298878	1.0509997635250532e-4	0.017157199860629885
Coriobacteriaceae (OTU 498)	20.297142857142767	0.0010990014319553758	5	Kruskal-Wallis rank sum test	0	0	1.4713996689350744e-4	0	0	0	0.017157199860629885
Clostridium (OTU 43)	20.08350738057175	0.0012054280794415598	5	Kruskal-Wallis rank sum test	0	0	0.002391024462019496	0.0010772747576131795	7.816810741217583e-4	0.0010247247694369268	0.01756143260833488
Lachnospiraceae (OTU 96)	20.124300670248715	0.0011843516912129525	5	Kruskal-Wallis rank sum test	0	0.001941430118733779	0	5.254998817625266e-4	0	0	0.01756143260833488
Lachnospiraceae (OTU 141)	20.103896103896123	0.0011948482611151064	5	Kruskal-Wallis rank sum test	0	0	0	0.002837699361517644	0	2.3647494679313697e-4	0.01756143260833488
Lachnospiraceae (OTU 207)	19.844472764645403	0.001336550812082735	5	Kruskal-Wallis rank sum test	5.885598675740298e-4	0	0	0.0013137497044063166	0	0	0.019097254872643694
Lachnospiraceae (OTU 91)	19.664374870412605	0.0014445147350768065	5	Kruskal-Wallis rank sum test	0.0027956593709766416	0.0032697770420779433	0	0.003573399195985181	0	0	0.02025046128607674
Bacteroides (OTU 3)	19.42337994365021	0.0016024931945281835	5	Kruskal-Wallis rank sum test	0.2616148611366562	0.25653444505752765	3.678499172337686e-5	0.019863895530623506	1.839249586168843e-4	0.0123755222155075	0.021446779215777995
Lachnospiraceae (OTU 38)	18.906619703719056	0.002000649536772897	5	Kruskal-Wallis rank sum test	3.678499172337686e-5	0.013303905339954632	1.103549751701306e-4	0.0017604246039044642	0.005609711237814972	0	0.021446779215777995
Oscillibacter (OTU 40)	18.557816631130066	0.002322743184194363	5	Kruskal-Wallis rank sum test	0.0049291888909325	0.007683976048883167	0.012948317086628655	0.0032318242728395386	0.0013334559499724114	2.1019995270501064e-4	0.021446779215777995
Clostridium (OTU 41)	19.119121307594554	0.0018263598504405633	5	Kruskal-Wallis rank sum test	0.004156704064741585	0.0032697770420779433	0.011918337318374104	4.466748994981476e-4	0	0.008302898131847921	0.021446779215777995
Bifidobacterium (OTU 46)	18.5558485038711	0.0023246976711695884	5	Kruskal-Wallis rank sum test	0.0017288946109987125	2.8610549118182003e-4	0	0	0	0	0.021446779215777995
Lachnospiraceae (OTU 109)	19.47022655514316	0.0015705096496150806	5	Kruskal-Wallis rank sum test	0	2.0436106512987143e-5	0	0.005465198770330277	0	0.004598123965422108	0.021446779215777995
Lachnospiraceae (OTU 114)	18.632628081832515	0.0022496334692023497	5	Kruskal-Wallis rank sum test	0	0	0	0.004598123965422108	0	0	0.021446779215777995
Bacteroides (OTU 124)	18.625029130738785	0.002256955342788102	5	Kruskal-Wallis rank sum test	0	0	0	0.006621298510207835	0	0	0.021446779215777995
Bilophila (OTU 137)	18.632628081832515	0.0022496334692023497	5	Kruskal-Wallis rank sum test	0	0	0	0.0016290496334638324	0	0	0.021446779215777995
Lachnospiraceae (OTU 170)	18.625029130738785	0.002256955342788102	5	Kruskal-Wallis rank sum test	0	0	0	0.0018655245802569693	0	0	0.021446779215777995
Clostridiales (OTU 188)	18.625029130738785	0.002256955342788102	5	Kruskal-Wallis rank sum test	0	0	0	0.003993799101395202	0	0	0.021446779215777995
Lachnospiraceae (OTU 193)	18.542422044960116	0.002338074180993294	5	Kruskal-Wallis rank sum test	0	0.0013692191363701388	0	0	0	2.627499408812633e-5	0.021446779215777995
Lachnospiraceae (OTU 204)	18.806460248059228	0.0020883616291798007	5	Kruskal-Wallis rank sum test	0	0.0011444219647272801	0	5.780498699387793e-4	7.816810741217583e-4	0	0.021446779215777995
Acetatifactor (OTU 242)	19.159361242986627	0.0017950771083697437	5	Kruskal-Wallis rank sum test	5.14989884127276e-4	8.787525800584472e-4	0	1.5764996452875796e-4	0	0	0.021446779215777995
Lachnospiraceae (OTU 243)	18.625029130738785	0.002256955342788102	5	Kruskal-Wallis rank sum test	0	0	0	0.0010247247694369268	0	0	0.021446779215777995
Lachnospiraceae (OTU 249)	18.698355601233292	0.002187267369356724	5	Kruskal-Wallis rank sum test	0	0	0	2.1019995270501064e-4	8.736435534302005e-4	0	0.021446779215777995
Roseburia (OTU 252)	18.632628081832515	0.0022496334692023497	5	Kruskal-Wallis rank sum test	0	0	0	4.992248876744003e-4	0	0	0.021446779215777995
Bacteroides (OTU 266)	18.632628081832515	0.0022496334692023497	5	Kruskal-Wallis rank sum test	0	0	0	0.0010247247694369268	0	0	0.021446779215777995
Clostridiales (OTU 276)	18.625029130738785	0.002256955342788102	5	Kruskal-Wallis rank sum test	0	0	0	8.407998108200425e-4	0	0	0.021446779215777995
Bacteria (OTU 286)	18.632628081832515	0.0022496334692023497	5	Kruskal-Wallis rank sum test	0	0	0	4.7294989358627395e-4	0	0	0.021446779215777995
Lachnospiraceae (OTU 290)	19.35451257603159	0.0016506760358068273	5	Kruskal-Wallis rank sum test	0	0	0	4.203999054100213e-4	5.057936361964318e-4	0	0.021446779215777995
Clostridium (OTU 296)	18.994198584135066	0.001926925173910975	5	Kruskal-Wallis rank sum test	0	0	3.3106492551039174e-4	3.678499172337686e-4	0	0	0.021446779215777995
Clostridiales (OTU 333)	18.632628081832515	0.0022496334692023497	5	Kruskal-Wallis rank sum test	0	0	0	4.466748994981476e-4	0	0	0.021446779215777995
Lachnospiraceae (OTU 334)	18.625029130738785	0.002256955342788102	5	Kruskal-Wallis rank sum test	0	0	0	3.1529992905751593e-4	0	0	0.021446779215777995
Bacteria (OTU 357)	18.70129870129873	0.0021845148246430733	5	Kruskal-Wallis rank sum test	0	0	0	1.0509997635250532e-4	0	0	0.021446779215777995
Clostridium (OTU 371)	18.632628081832515	0.0022496334692023497	5	Kruskal-Wallis rank sum test	0	0	0	3.9412491132189494e-4	0	0	0.021446779215777995
Oscillibacter (OTU 413)	18.632628081832515	0.0022496334692023497	5	Kruskal-Wallis rank sum test	0	0	0	2.3647494679313697e-4	0	0	0.021446779215777995
Oxalobacteraceae (OTU 489)	18.70129870129873	0.0021845148246430733	5	Kruskal-Wallis rank sum test	0	0	0	1.0509997635250532e-4	0	0	0.021446779215777995
Lachnospiraceae (OTU 205)	18.48195576251456	0.0023992569768602648	5	Kruskal-Wallis rank sum test	5.885598675740298e-4	0	0	2.1019995270501064e-4	0.001057568512047085	0	0.02173960894886801
Lachnospiraceae (OTU 110)	18.323634362406573	0.0025669887619020645	5	Kruskal-Wallis rank sum test	9.196247930844216e-4	0.0012261663907792287	0.00375206915578444	9.721747812606742e-4	2.758874379253265e-4	0	0.022979188555340167
Porphyromonadaceae (OTU 7)	18.19804782466709	0.0027081678431438096	5	Kruskal-Wallis rank sum test	0.03123045797314696	0.1556413872029101	0	0.11582017394046086	0	0.12756509629785334	0.02395438937447441
Lachnospiraceae (OTU 145)	18.169638048609883	0.00274114523347802	5	Kruskal-Wallis rank sum test	4.414199006805223e-4	0.0020231745447857274	8.460548096376678e-4	4.7294989358627395e-4	0	3.9412491132189494e-4	0.02396083421734316
Lachnospiraceae (OTU 111)	17.982238010657156	0.0029687478608578944	5	Kruskal-Wallis rank sum test	0.009085892955674085	5.926470888766273e-4	0	0	0	4.466748994981476e-4	0.02564860070485367
Lactobacillus (OTU 6)	17.807447890188104	0.0031976632114439425	5	Kruskal-Wallis rank sum test	0.04366378517564833	0.012690822144565017	0.004230274048188339	0.0350245671194724	0.047636564281773035	0.03200294279933787	0.027091735224830528
Lachnospiraceae (OTU 27)	17.799324987727047	0.0032087115744079226	5	Kruskal-Wallis rank sum test	0.0035313592054441786	0.008480984202889666	0	0.007829948238261646	4.598123965422108e-4	0.014372421766205101	0.027091735224830528
Alistipes (OTU 161)	17.707231040564363	0.0033366167614395383	5	Kruskal-Wallis rank sum test	0	0	0	6.043248640269056e-4	0	0.0015502246511994535	0.02785512644662446
Butyricicoccus (OTU 131)	17.679728049083817	0.003375772971185432	5	Kruskal-Wallis rank sum test	5.14989884127276e-4	0.0018392495861688431	4.414199006805224e-4	0.0011298247457894321	0	0	0.02786888130656418
Ruminococcaceae (OTU 288)	17.631140307873306	0.003446049686952441	5	Kruskal-Wallis rank sum test	0	0	0	4.466748994981476e-4	0	3.9412491132189494e-4	0.0281364276637985
Lachnospiraceae (OTU 82)	17.550710270539682	0.0035655416736682295	5	Kruskal-Wallis rank sum test	0	0	0.004892403899209123	0.0037573241546020653	0	3.678499172337686e-4	0.028795624603646677
Lachnospiraceae (OTU 175)	17.50874902063201	0.003629481719635005	5	Kruskal-Wallis rank sum test	0	0	0	8.145248167319162e-4	0.0013334559499724114	5.254998817625266e-5	0.028996827071922675
Lachnospiraceae (OTU 50)	17.399186978041595	0.0038017658877834855	5	Kruskal-Wallis rank sum test	0.009821592790141623	0.0037602435983896346	0.0024278094537428727	0.005465198770330277	0	0.0014451246748469482	0.030050128240671593
Lachnospiraceae (OTU 278)	17.34784027853336	0.003885235848594024	5	Kruskal-Wallis rank sum test	0	0	0	0.0013400246984944428	0	3.15299929057516e-4	0.030386634057951157
Lachnospiraceae (OTU 97)	17.151262333139865	0.004221680475698134	5	Kruskal-Wallis rank sum test	0.002906014346146772	3.8828602374675576e-4	0	1.57649964528758e-4	0.003678499172337686	4.992248876744003e-4	0.032185063749917
Lachnospiraceae (OTU 273)	17.138134592680053	0.004245136268495109	5	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	4.598123965422107e-4	2.627499408812633e-5	0.032185063749917
Lachnospiraceae (OTU 352)	17.15641399416911	0.004212510472153767	5	Kruskal-Wallis rank sum test	0	0	0	2.1019995270501064e-4	0	1.0509997635250532e-4	0.032185063749917
Clostridium (OTU 74)	16.958333333333357	0.004579500606169634	5	Kruskal-Wallis rank sum test	0	0	0	0	0.0028968180982159282	0	0.033358519121412133
Lachnospiraceae (OTU 106)	17.00495592882089	0.004490407507594584	5	Kruskal-Wallis rank sum test	7.356998344675372e-5	0.0039032963439805447	3.678499172337686e-5	1.0509997635250532e-4	0	0.002496124438372001	0.033358519121412133
Lachnospiraceae (OTU 263)	16.958333333333357	0.004579500606169634	5	Kruskal-Wallis rank sum test	0	0	0	0	8.736435534302004e-4	0	0.033358519121412133
Akkermansia (OTU 965)	16.971428571428586	0.004554303431159407	5	Kruskal-Wallis rank sum test	0	0	0	0	9.196247930844215e-5	0	0.033358519121412133
Acetatifactor (OTU 103)	16.71737637362638	0.005068194067590134	5	Kruskal-Wallis rank sum test	0	9.196247930844214e-4	0.009122677947397462	6.305998581150319e-4	0	0.0025749494206363803	0.03655988536135407
Anaeroplasma (OTU 92)	16.37930501930503	0.005840585624010259	5	Kruskal-Wallis rank sum test	0.002354239470296119	0.007479614983753296	0.0025381644289130035	0	0	5.254998817625266e-5	0.04171558923659046
Lachnospiraceae (OTU 181)	16.357079168166585	0.005895204400864063	5	Kruskal-Wallis rank sum test	0.00187603457789222	5.722109823636401e-4	0	1.0509997635250532e-4	0	3.678499172337686e-4	0.04171558923659046
Lachnospiraceae (OTU 230)	16.307083316794348	0.0060198927792506724	5	Kruskal-Wallis rank sum test	7.356998344675372e-5	4.904665563116914e-4	0	7.882498226437898e-5	5.057936361964318e-4	1.0509997635250532e-4	0.04219604089606839
Firmicutes (OTU 256)	16.115429286160982	0.00652212983886527	5	Kruskal-Wallis rank sum test	2.2070995034026116e-4	7.152637279545501e-4	0	6.043248640269056e-4	0	0	0.045289181965204636
Alistipes (OTU 57)	16.04439801514757	0.006718452148329997	5	Kruskal-Wallis rank sum test	0	0	0	0.013347696996768176	0	0.01016842271210489	0.04540427111683538
Ruminococcaceae (OTU 152)	16.05907724480462	0.006677414238033625	5	Kruskal-Wallis rank sum test	0	0	0	6.043248640269055e-4	0	0.001996899550697601	0.04540427111683538
Acetatifactor (OTU 237)	16.021435106522013	0.006783141445449162	5	Kruskal-Wallis rank sum test	0	0	0	5.51774875850653e-4	0	8.933497989962952e-4	0.04540427111683538
