family	statistic	p.value	parameter	method	-1	0	1	2	3	4	5	6	7	8	9	p.value.adj
Veillonellaceae	13.6868131868133	0.1877622236212124	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	5.254998817625266e-5	0.7135812436417109
Acetobacteraceae	8.000000000000016	0.6288369351798719	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	3.0654159769480714e-5	0	0	0	0	0.7406301681007381
Aerococcaceae	8.000000000000016	0.6288369351798719	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	3.0654159769480714e-5	0	0	0	0	0.7406301681007381
Bacillaceae 1	9.800000000000463	0.45821186822775406	10	Kruskal-Wallis rank sum test	0	3.678499172337686e-5	0	0	0	0	0	0	0	0	0	0.7406301681007381
Bacilli unclassified	9.800000000000463	0.45821186822775406	10	Kruskal-Wallis rank sum test	0	3.678499172337686e-5	0	0	0	0	0	0	0	0	0	0.7406301681007381
Bacteroidaceae	10.444572078890427	0.40239221439568207	10	Kruskal-Wallis rank sum test	2.299061982711054e-4	0.001066764759977929	0.004199619888418858	1.839249586168843e-4	3.3106492551039174e-4	0.0012139047268714363	0.0010422414321623445	3.2186867757954754e-4	3.2186867757954754e-4	3.065415976948072e-4	4.7294989358627395e-4	0.7406301681007381
Bacteroidales unclassified	8.969811320754609	0.5349709793856633	10	Kruskal-Wallis rank sum test	0	2.207099503402612e-4	0	0	3.678499172337686e-5	0	0	0	0	0	0	0.7406301681007381
Betaproteobacteria unclassified	12.50000000000009	0.25298532330929274	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	4.5981239654221075e-5	0	0	0.7406301681007381
Brevibacteriaceae	8.000000000000016	0.6288369351798719	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	9.196247930844216e-5	0	0	0	0	0.7406301681007381
Burkholderiales unclassified	9.800000000000463	0.45821186822775406	10	Kruskal-Wallis rank sum test	0	0	0	0	3.678499172337686e-5	0	0	0	0	0	0	0.7406301681007381
Caulobacteraceae	8.000000000000016	0.6288369351798719	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	3.0654159769480714e-5	0	0	0	0	0.7406301681007381
Chitinophagaceae	9.800000000000463	0.45821186822775406	10	Kruskal-Wallis rank sum test	0	3.678499172337686e-5	0	0	0	0	0	0	0	0	0	0.7406301681007381
Clostridiales Incertae Sedis XIII	12.638461538461733	0.24459397733761595	10	Kruskal-Wallis rank sum test	0	0	0	0	0	3.678499172337686e-5	0	0	0	6.130831953896143e-5	0	0.7406301681007381
Clostridiales unclassified	10.147985878282208	0.42760739476610027	10	Kruskal-Wallis rank sum test	0.025749494206363802	0.0030899393047636565	0.010790264238857213	3.678499172337686e-4	0.010042302740481884	0.007908773220526025	0.012445588866409172	0.010667647599779291	0.003908405370608791	0.02433940285696769	0.009196247930844215	0.7406301681007381
Corynebacteriaceae	8.000000000000016	0.6288369351798719	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	6.130831953896143e-5	0	0	0	0	0.7406301681007381
Dermabacteraceae	8.000000000000016	0.6288369351798719	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	3.0654159769480714e-5	0	0	0	0	0.7406301681007381
Dermacoccaceae	8.000000000000016	0.6288369351798719	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	6.130831953896143e-5	0	0	0	0	0.7406301681007381
Dietziaceae	8.000000000000016	0.6288369351798719	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	3.0654159769480714e-5	0	0	0	0	0.7406301681007381
Erysipelotrichaceae	11.019189394311018	0.35602492556922677	10	Kruskal-Wallis rank sum test	0.002207099503402612	0.0016921096192753357	0.006927840107902642	0.009012322972227331	0.019054625712709213	0.010630862608055913	0.006651952669977316	0.013978296854883209	0.013978296854883207	0.039850407700324934	0.02900759347329147	0.7406301681007381
Eubacteriaceae	10.952280778610156	0.3612478538240065	10	Kruskal-Wallis rank sum test	4.5981239654221075e-5	0	2.4523327815584577e-4	0	1.4713996689350744e-4	4.0463490895714546e-4	1.2261663907792286e-4	1.3794371896266324e-4	9.196247930844215e-5	0	5.254998817625266e-5	0.7406301681007381
Firmicutes unclassified	9.797386343830873	0.4584456446342334	10	Kruskal-Wallis rank sum test	0.007173073386058488	0.002538164428913003	0.00720372754582797	0	0.006143093617803936	0.0027588743792532648	0.011250076635399424	0.016369321316902705	5.057936361964318e-4	0.004904665563116915	0.002233374497490738	0.7406301681007381
Gammaproteobacteria unclassified	9.800000000000463	0.45821186822775406	10	Kruskal-Wallis rank sum test	0	0	0	0	0	7.356998344675372e-5	0	0	0	0	0	0.7406301681007381
Lactobacillaceae	12.200279853116834	0.2718761601971546	10	Kruskal-Wallis rank sum test	0.07688063270185765	0.16829133713444916	0.0766353994237018	0.08718043038440317	0.14011403347434248	0.17480228066948686	0.1787137514560726	0.05784439948501012	0.05324627551958801	0.013610446937649439	0.032002942799337866	0.7406301681007381
Micrococcaceae	8.000000000000016	0.6288369351798719	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	1.532707988474036e-4	0	0	0	0	0.7406301681007381
Micromonosporaceae	8.000000000000016	0.6288369351798719	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	6.130831953896143e-5	0	0	0	0	0.7406301681007381
Moraxellaceae	9.800000000000463	0.45821186822775406	10	Kruskal-Wallis rank sum test	0	0	0	0	0	3.678499172337686e-5	0	0	0	0	0	0.7406301681007381
Ruminococcaceae	12.036705895380399	0.2826074244368619	10	Kruskal-Wallis rank sum test	0.03140518668383299	0.022402059959536508	0.01961866225246766	0.0016553246275519589	0.031929372815891116	0.029280853411807983	0.04693151860707498	0.051498988412727605	0.026531175280485562	0.059652994911409477	0.04485141490843165	0.7406301681007381
Sphingomonadales unclassified	9.800000000000463	0.45821186822775406	10	Kruskal-Wallis rank sum test	0	0	0	0	0	3.678499172337686e-5	0	0	0	0	0	0.7406301681007381
Streptococcaceae	8.000000000000016	0.6288369351798719	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	3.0654159769480714e-5	0	0	0	0	0.7406301681007381
Sutterellaceae	8.018553459119694	0.6270245765650032	10	Kruskal-Wallis rank sum test	0	0	9.196247930844216e-5	0	0	7.356998344675372e-5	0	0	0	0	0	0.7406301681007381
Unclassified	12.422083603026467	0.2578004187136602	10	Kruskal-Wallis rank sum test	0.006920176567960272	0.0030899393047636565	0.009962601925081234	0	0.0053706087916130215	0.009564097848077983	0.010269143522776041	0.012552878425602354	0.0017472871068604009	0.022868003188032615	0.011876297327833102	0.7406301681007381
Xanthomonadaceae	9.800000000000463	0.45821186822775406	10	Kruskal-Wallis rank sum test	0	0	0	0	0	7.356998344675372e-5	0	0	0	0	0	0.7406301681007381
Bacteroidetes unclassified	6.479395604395442	0.7735081463192073	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	3.0654159769480714e-5	0	0	0	2.627499408812633e-5	0.8912159077156084
Alteromonadaceae	5.74999999999998	0.8358115573243096	10	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0	0	0	0	0	0	0	0	0.9040410722079267
Flavobacteriaceae	6.031053459119378	0.8126475506119976	10	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0	0	0	6.130831953896143e-5	0	0	0	0	0.9040410722079267
Geodermatophilaceae	5.74999999999998	0.8358115573243096	10	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0	0	0	0	0	0	0	0	0.9040410722079267
Pseudomonadaceae	5.099305555555577	0.8844462769767357	10	Kruskal-Wallis rank sum test	1.1495309913555268e-4	3.678499172337686e-5	3.0654159769480714e-5	0	0	0	3.0654159769480714e-5	0	0	0	0	0.9175592303912076
Rikenellaceae	5.021047800882288	0.8897675742431406	10	Kruskal-Wallis rank sum test	4.5981239654221075e-5	1.4713996689350744e-4	3.0654159769480714e-5	0	3.678499172337686e-5	1.4713996689350744e-4	3.0654159769480714e-5	0	0	0	2.627499408812633e-5	0.9175592303912076
Staphylococcaceae	4.861327030812449	0.9002467920819396	10	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0	0	3.678499172337686e-5	3.0654159769480713e-4	0	0	0	2.627499408812633e-5	0.9175592303912076
Anaeroplasmataceae	3.746300080710214	0.9580669282937759	10	Kruskal-Wallis rank sum test	4.5981239654221075e-5	0.0022438844951259886	0.00726503586536693	0	0.007982343203972779	0.004782048924038992	0.00600821531481822	0.0062534485929740665	0	0.005027282202194837	8.670748049081689e-4	0.9580669282937759
Acidaminococcaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Actinomycetales unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Alphaproteobacteria unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Bacillales unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Bifidobacteriaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Bradyrhizobiaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Burkholderiales incertae sedis	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Candidatus Saccharibacteria unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Catabacteriaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Clostridiales Incertae Sedis XI	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Coxiellaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Cytophagaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Cytophagales unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Deltaproteobacteria unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Desulfovibrionaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Desulfovibrionales unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Fusobacteriaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Gp2 unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Gp6 unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Labilitrichaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Leuconostocaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Listeriaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Nocardiaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Nocardiopsaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Oxalobacteraceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Paenibacillaceae 1	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Phyllobacteriaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Planococcaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Proteobacteria unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Rhizobiaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Rhodobacteraceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Rhodospirillaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Sphingobacteriaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Sphingomonadaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
