family	statistic	p.value	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj	day
Sutterellaceae	30.61593282044238	1.1153180899077695e-5	Kruskal-Wallis rank sum test	0	0	0.011679234872172154	0.07540923303292256	0	0	1.5986225955344697e-4	0
Deferribacteraceae	27.343372104714142	4.8897482114720985e-5	Kruskal-Wallis rank sum test	0	0	0	0.0018392495861688431	0.012322972227331249	0	5.256479327332506e-4	0
Enterococcaceae	25.72332229037025	1.009640580776463e-4	Kruskal-Wallis rank sum test	0	0	0.059499724112562075	0.0069891484274416035	0.047820489240389924	0.10060695236343573	8.682908994677581e-4	0
Enterobacteriaceae	24.39301837953521	1.824269231348224e-4	Kruskal-Wallis rank sum test	0.8942431487952915	0.7611734412359757	0.14199006805223469	0.22236527496781314	0.5663049475813867	0.4908037520691558	0.001307392949132894	0
Lactobacillaceae	19.573272309227377	0.001502348542401708	Kruskal-Wallis rank sum test	0.08754828030163693	0.232113297774508	0.013058672061798787	0.13923119367298142	0.15652013978296855	0.31331616700386244	0.00922871247475335	0
Bacteroidaceae	17.734035502241603	0.003298882981213816	Kruskal-Wallis rank sum test	7.356998344675372e-4	9.196247930844216e-4	0.6529336030899393	0.5442339525473607	0.0014713996689350744	5.51774875850653e-4	0.016325225545219802	0
Porphyromonadaceae	17.65116967175223	0.0034169076722553077	Kruskal-Wallis rank sum test	3.678499172337686e-4	7.356998344675372e-4	2.758874379253265e-4	0.0071730733860584876	0.0038624241309545703	3.678499172337686e-4	0.016325225545219802	0
Lachnospiraceae	15.601044983054326	0.008080406170746571	Kruskal-Wallis rank sum test	5.51774875850653e-4	4.598123965422108e-4	5.51774875850653e-4	0.010667647599779291	0.0062534485929740665	6.437373551590951e-4	0.03474574653421025	0
Burkholderiales Unclassified	37.19635834513134	5.470385828046244e-7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.025473606768438475	1.9438275582453067e-5	1
Sutterellaceae	36.107061959919086	9.041058410443287e-7	Kruskal-Wallis rank sum test	0	0	0.03512966709582491	0.04073937833363987	0	0	1.9438275582453067e-5	1
Bifidobacteriaceae	34.67302141491685	1.7484931590175606e-6	Kruskal-Wallis rank sum test	0.011219422475629943	0.0020231745447857274	0	0	0	0	2.5061735279251702e-5	1
Enterococcaceae	31.20143408834505	8.54729149359491e-6	Kruskal-Wallis rank sum test	0	0	3.678499172337686e-4	0.0026669118999448223	0.012782784623873458	0.037244804119919074	7.350670684491623e-5	1
Porphyromonadaceae	31.214786272985993	8.495532243053646e-6	Kruskal-Wallis rank sum test	0.001103549751701306	3.678499172337686e-4	3.678499172337686e-4	0.12865550855251057	0.4517196983630679	0.31487952915210593	7.350670684491623e-5	1
Betaproteobacteria Unclassified	28.81929555895862	2.5159051268959338e-5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.008276623137759793	1.803065340942086e-4	1
Bacteroidaceae	25.75198483600376	9.968143395450587e-5	Kruskal-Wallis rank sum test	0.0020231745447857274	0.0018392495861688431	0.7544601802464594	0.41281956961559685	3.678499172337686e-4	0.001103549751701306	4.762557400048614e-4	1
Clostridiales Unclassified	25.98536451258168	8.982108881912188e-5	Kruskal-Wallis rank sum test	0	0	0	0.003034761817178591	0.0033106492551039177	3.678499172337686e-4	4.762557400048614e-4	1
Lactobacillaceae	26.274837842113612	7.892367894659678e-5	Kruskal-Wallis rank sum test	0.15753172705536142	0.19863895530623507	0.008644473054993563	0.06115504874011403	0.05499356262644841	0.051223100974802274	4.762557400048614e-4	1
Deltaproteobacteria Unclassified	23.426696542893694	2.797011519198598e-4	Kruskal-Wallis rank sum test	0	0	0	0	0	7.356998344675372e-4	0.0010933772302321792	1
Rhodospirillaceae	23.426696542893694	2.797011519198598e-4	Kruskal-Wallis rank sum test	0	0	0	3.678499172337686e-4	0	0	0.0010933772302321792	1
Enterobacteriaceae	22.84098243948742	3.62030394450798e-4	Kruskal-Wallis rank sum test	0.6315983078903807	0.5926062166636012	0.011219422475629943	0.07127092146404268	0.2187787382747839	0.2451719698363068	0.0011974851508757163	1
Lachnospiraceae	22.95764910438758	3.4391733109544697e-4	Kruskal-Wallis rank sum test	0.010943535037704616	0.0012874747103181902	3.678499172337686e-4	0.11164244988044877	0.048924038992091225	0.00846054809637668	0.0011974851508757163	1
Eubacteriaceae	18.899999999999984	0.002006333257107833	Kruskal-Wallis rank sum test	0	0	0	0	1.839249586168843e-4	0	0.006162309289688345	1
Deferribacteraceae	16.254313385927794	0.006154288131732257	Kruskal-Wallis rank sum test	0	0	0	9.196247930844215e-5	9.196247930844215e-5	0	0.017642292644299135	1
Bacteroidetes Unclassified	14.517110997180234	0.012637763292207824	Kruskal-Wallis rank sum test	0	0	0	9.196247930844215e-5	0	0	0.033963988847808525	1
Verrucomicrobiaceae	13.694093499665097	0.017673901162658975	Kruskal-Wallis rank sum test	0.02823248114769174	0.015633621482435165	1.839249586168843e-4	0.011403347434246827	0.06694868493654589	0.001103549751701306	0.044704573529078584	1
Proteobacteria Unclassified	13.382060138155172	0.020049765802288667	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.04789666274991181	1
Deltaproteobacteria Unclassified	37.5274700429573	4.6945180063428355e-7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0018392495861688431	1.830862022473706e-5	3
Burkholderiales Unclassified	34.403902439024414	1.9783870458449157e-6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.01820857090307155	2.5719031595983905e-5	3
Sutterellaceae	34.703234189678085	1.7244039303359587e-6	Kruskal-Wallis rank sum test	0	0	0.01967997057200662	0.015265771565201397	0	0	2.5719031595983905e-5	3
Bifidobacteriaceae	31.171835400827028	8.663149368781248e-6	Kruskal-Wallis rank sum test	0.0033106492551039173	0.002299061982711054	0	0	0	0	6.133988667835799e-5	3
Deferribacteraceae	30.98370334813394	9.436905642824306e-6	Kruskal-Wallis rank sum test	0	0	0	0.0027588743792532648	0.002391024462019496	9.196247930844216e-4	6.133988667835799e-5	3
Rhodospirillaceae	31.803204113924036	6.498858425062637e-6	Kruskal-Wallis rank sum test	0	0	0	0.005425786279198087	0	0	6.133988667835799e-5	3
Porphyromonadaceae	28.17120813074014	3.3698341452667046e-5	Kruskal-Wallis rank sum test	0.18318925878241676	0.006805223468824719	3.678499172337686e-4	0.15716387713812763	0.1407025933419165	0.5335663049475814	1.8774790237914495e-4	3
Betaproteobacteria Unclassified	25.400634158882546	1.1658161292994515e-4	Kruskal-Wallis rank sum test	0	0	0	0	0	1.839249586168843e-4	5.683353630334826e-4	3
Rikenellaceae	24.80132953884649	1.5219448084927332e-4	Kruskal-Wallis rank sum test	0	0	0	0.0038624241309545703	0	0.009931947765311753	6.595094170135176e-4	3
Enterococcaceae	22.762471709759268	3.7474661420757946e-4	Kruskal-Wallis rank sum test	0	0	5.51774875850653e-4	0	0.0033106492551039177	0.002207099503402612	0.0014615117954095598	3
Unclassified	18.108379946306243	0.002813596910490925	Kruskal-Wallis rank sum test	9.196247930844215e-5	0	0	0.0016553246275519589	3.678499172337686e-4	1.839249586168843e-4	0.009975479955376915	3
Oxalobacteraceae	16.77327491785325	0.0049504774799517485	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0.016089051809843182	3
Lachnospiraceae	16.050491301895796	0.00670138774793912	Kruskal-Wallis rank sum test	0.04965973882655876	0.033382379988964504	0.03071546808901968	0.13205812028692293	0.18355710869965053	0.0750413831156888	0.02010416324381736	3
Bacteroidaceae	15.741498806867005	0.007622199448336342	Kruskal-Wallis rank sum test	0.39249586168843115	0.6792348721721537	0.5521427257678867	0.41281956961559685	3.678499172337686e-4	5.51774875850653e-4	0.021233269891794092	3
Clostridiales Unclassified	13.996371575375788	0.015632480765709368	Kruskal-Wallis rank sum test	5.51774875850653e-4	4.598123965422108e-4	5.51774875850653e-4	0.011311384954938384	0.0027588743792532648	0.0031267242964870333	0.03096424104110667	3
Coriobacteriaceae	14.544950516273303	0.012494371582086099	Kruskal-Wallis rank sum test	5.51774875850653e-4	1.839249586168843e-4	0	8.276623137759794e-4	0	0	0.03096424104110667	3
Erysipelotrichaceae	14.181699841495359	0.014495511568045622	Kruskal-Wallis rank sum test	0.012231009748022808	0.007816810741217583	0.08368585617068236	0.0019312120654772853	0.014713996689350743	0.0014713996689350744	0.03096424104110667	3
Eubacteriaceae	13.957894736842242	0.015879097969798292	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.03096424104110667	3
Prevotellaceae	13.967567567567713	0.01581674894505342	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.03096424104110667	3
Verrucomicrobiaceae	14.017645896297568	0.015497714710111356	Kruskal-Wallis rank sum test	0.2729446385874563	0.17684384771013426	0.042486665440500275	0.0298878057752437	0.11348169946661762	0.0879161302188707	0.03096424104110667	3
Desulfovibrionaceae	13.708860759493676	0.01756846188372846	Kruskal-Wallis rank sum test	0	0	0	0.004965973882655877	0	0	0.032627143498352856	3
Bacteroidetes Unclassified	13.337438423645317	0.020413684980926775	Kruskal-Wallis rank sum test	0	0	0	0.002299061982711054	0	0	0.03618789610255201	3
Burkholderiales Unclassified	38.53293413173654	2.9484980395386926e-7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.013058672061798787	1.3563090981877985e-5	4
Sutterellaceae	36.947729875503335	6.135739175608674e-7	Kruskal-Wallis rank sum test	0	0	0.014530071730733861	0.0033106492551039177	0	0	1.411220010389995e-5	4
Bifidobacteriaceae	28.73998164576323	2.6076052044509784e-5	Kruskal-Wallis rank sum test	0.001195512231009748	0.002942799337870149	0	0	0	0	3.232831095736713e-4	4
Deltaproteobacteria Unclassified	28.573384262795983	2.8111574745536637e-5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0020231745447857274	3.232831095736713e-4	4
Betaproteobacteria Unclassified	26.11607142857137	8.472736705062932e-5	Kruskal-Wallis rank sum test	0	0	0	0	0	7.356998344675372e-4	7.794917768657897e-4	4
Deferribacteraceae	24.492127805005747	1.7458322997342888e-4	Kruskal-Wallis rank sum test	0	0	0	0.008644473054993562	0.03034761817178591	0.0033106492551039177	0.0013384714297962881	4
Eubacteriaceae	22.095323741007196	5.021953024972665e-4	Kruskal-Wallis rank sum test	0	0	0	0	1.839249586168843e-4	0	0.003300140559267751	4
Bacteroidaceae	21.05236104774427	7.918135378881856e-4	Kruskal-Wallis rank sum test	0.32536325179326836	0.43424682729446384	0.6201029979768256	0.34062902335846973	9.196247930844214e-4	3.678499172337686e-4	0.003642342274285654	4
Enterococcaceae	21.50118173902227	6.511478447627448e-4	Kruskal-Wallis rank sum test	0	0	0	0	0	7.356998344675372e-4	0.003642342274285654	4
Porphyromonadaceae	21.232877125690667	7.31960245916324e-4	Kruskal-Wallis rank sum test	0.28195696155968364	0.14677211697627368	3.678499172337686e-4	0.12359757219054626	0.07117895898473423	0.3389736987309178	0.003642342274285654	4
Desulfovibrionaceae	20.258343376286263	0.001117617717239429	Kruskal-Wallis rank sum test	0	0	0	0	0	7.356998344675372e-4	0.0042842012494178116	4
Rhodospirillaceae	20.357884330202726	0.0010704683348433939	Kruskal-Wallis rank sum test	0	0	0	0.002207099503402612	0	0	0.0042842012494178116	4
Rikenellaceae	18.153566203070984	0.0027599749940137633	Kruskal-Wallis rank sum test	0	1.839249586168843e-4	0	0.0069891484274416035	0	0.02519771933051315	0.009766065363433316	4
Bacteroidetes Unclassified	16.771266233766166	0.004954660943334471	Kruskal-Wallis rank sum test	0	0	0	0.00974802280669487	0	0	0.01627960024238469	4
Erysipelotrichaceae	16.35220080571644	0.005907259186097642	Kruskal-Wallis rank sum test	0.01443810925142542	0.02758874379253265	0.033750229906198276	0.0033106492551039177	0.0036784991723376862	0.0033106492551039173	0.018115594837366106	4
Anaeroplasmataceae	16.03320657376878	0.006749904377481742	Kruskal-Wallis rank sum test	7.356998344675372e-4	0.001103549751701306	0	0	0	0	0.01940597508526001	4
Oxalobacteraceae	14.887218045112824	0.010855265833541919	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.02781780079779898	4
Peptostreptococcaceae	14.88052415210693	0.010885226399138732	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.02781780079779898	4
Firmicutes Unclassified	14.484994330469771	0.012805164195047548	Kruskal-Wallis rank sum test	0	3.678499172337686e-4	0	0.0033106492551039173	0	5.51774875850653e-4	0.03100197647222038	4
Betaproteobacteria Unclassified	41.69425956738766	6.792008104963922e-8	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0019312120654772853	4.41480526822655e-6	5
Burkholderiales Unclassified	37.13602941176473	5.624916244658303e-7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.015357734044509838	1.0848125967237658e-5	5
Deferribacteraceae	36.76492634881898	6.675769825992405e-7	Kruskal-Wallis rank sum test	0	0	0	0.013610446937649439	0.05361412543682177	0.023726319661578076	1.0848125967237658e-5	5
Sutterellaceae	37.846895424836596	4.0500965450891043e-7	Kruskal-Wallis rank sum test	0	0	0.009012322972227331	0.00211513702409417	0	0	1.0848125967237658e-5	5
Bifidobacteriaceae	35.802349535829784	1.0403124850378515e-6	Kruskal-Wallis rank sum test	0.003954386610263013	0.0012874747103181902	0	0	0	0	1.352406230549207e-5	5
Deltaproteobacteria Unclassified	33.91291108404381	2.4779689736961787e-6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0027588743792532648	2.6844663881708605e-5	5
Desulfovibrionaceae	29.63693346190934	1.7384811990213327e-5	Kruskal-Wallis rank sum test	0	0	0	8.276623137759794e-4	0	0.0068052234688247195	1.412515974204833e-4	5
Rhodospirillaceae	29.64203834931224	1.7344683900553812e-5	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	1.412515974204833e-4	5
Bacteroidaceae	26.538430267735563	7.014543171017889e-5	Kruskal-Wallis rank sum test	0.14530071730733862	0.4222917049843664	0.6314143829317638	0.25446018024645944	7.356998344675372e-4	1.839249586168843e-4	5.066058956846254e-4	5
Porphyromonadaceae	25.7621241879438	9.923158124449626e-5	Kruskal-Wallis rank sum test	0.38403531359205445	0.07945558212249403	3.678499172337686e-4	0.1370240941695788	0.16681993746551407	0.28398013610446937	6.450052780892257e-4	5
Clostridiales Unclassified	25.048953295042313	1.3633372746314236e-4	Kruskal-Wallis rank sum test	0.002299061982711054	0.0013794371896266324	9.196247930844214e-4	0.014254184292808534	0.0046900864447305506	0.00974802280669487	8.056083895549321e-4	5
Rikenellaceae	22.767938318923242	3.7384709005969024e-4	Kruskal-Wallis rank sum test	0	0.003494574213720802	0	0.008000735699834468	0	0.025381644289130034	0.0020250050711566555	5
Eubacteriaceae	19.402439024390226	0.0016169963382581772	Kruskal-Wallis rank sum test	0	0	0	0	9.196247930844215e-5	0	0.008084981691290885	5
Enterococcaceae	18.053575336470093	0.0028800038644612017	Kruskal-Wallis rank sum test	0	0	0	0	2.758874379253265e-4	3.678499172337686e-4	0.013371446513569866	5
Erysipelotrichaceae	16.416707612064414	0.005749782801380444	Kruskal-Wallis rank sum test	0.005057936361964319	0.0068052234688247195	0.045429464778370426	0.0010115872723928637	0.0064373735515909514	0.002207099503402612	0.02491572547264859	5
Coriobacteriaceae	16.1989142009584	0.0062985257456518945	Kruskal-Wallis rank sum test	0.0013794371896266324	0.0016553246275519589	5.51774875850653e-4	7.356998344675372e-4	3.678499172337686e-4	0.0017472871068604009	0.02558776084171082	5
Anaeroplasmataceae	15.731240288821846	0.007654792222472776	Kruskal-Wallis rank sum test	0.005241861320581203	0.003034761817178591	0	0	0	0	0.02926832320357238	5
Lachnospiraceae	15.217230443974643	0.00947337452115238	Kruskal-Wallis rank sum test	0.10115872723928637	0.21372080191281956	0.05867206179878609	0.21068604009564096	0.48859665256575313	0.32867390104837224	0.03420940799305026	5
Ruminococcaceae	14.834938075819338	0.011091403381991286	Kruskal-Wallis rank sum test	0.027864631230457973	0.05205076328857826	0.007908773220526025	0.04432591502666912	0.02823248114769174	0.02473790693397094	0.03794427472786492	5
Firmicutes Unclassified	14.515759914418886	0.012644762628211313	Kruskal-Wallis rank sum test	5.51774875850653e-4	0.00211513702409417	0	0.002942799337870149	7.356998344675372e-4	0.0026669118999448228	0.04109547854168677	5
Enterobacteriaceae	13.74183642328529	0.017335197355514698	Kruskal-Wallis rank sum test	3.678499172337686e-4	6.437373551590951e-4	0.0020231745447857274	3.678499172337686e-4	0.002482986941327938	3.678499172337686e-4	0.04694949283785231	5
Oxalobacteraceae	13.781250000000016	0.017060307760332412	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.04694949283785231	5
Peptostreptococcaceae	13.759916795665646	0.017208569952468916	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.04694949283785231	5
Proteobacteria Unclassified	13.765243902439035	0.017171431505629147	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.04694949283785231	5
Betaproteobacteria Unclassified	38.53293413173654	2.9484980395386926e-7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0031267242964870333	1.0909442746293163e-5	6
Deferribacteraceae	35.17508798997158	1.388311333491319e-6	Kruskal-Wallis rank sum test	0	0	0	0.03384219238550671	0.0170130586720618	0.016001471399668937	1.7122506446392933e-5	6
Sutterellaceae	36.02889424952995	9.372540504179236e-7	Kruskal-Wallis rank sum test	0	0	0.0093801728894611	0.0012874747103181902	0	0	1.7122506446392933e-5	6
Burkholderiales Unclassified	32.16249874664733	5.516876684930874e-6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.012322972227331249	4.082488746848847e-5	6
Deltaproteobacteria Unclassified	32.169415032112425	5.4994983637216e-6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002391024462019496	4.082488746848847e-5	6
Desulfovibrionaceae	28.0568971910633	3.547833956125371e-5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0036784991723376862	2.1878309396106455e-4	6
Enterococcaceae	26.604204853940935	6.811029537169917e-5	Kruskal-Wallis rank sum test	0	0	0	0	6.437373551590951e-4	3.678499172337686e-4	3.600115612504099e-4	6
Bifidobacteriaceae	24.845330117400902	1.4924852417480216e-4	Kruskal-Wallis rank sum test	0.001103549751701306	3.678499172337686e-4	0	0	0	0	6.135772660519643e-4	6
Porphyromonadaceae	25.097314221352153	1.3343276152504138e-4	Kruskal-Wallis rank sum test	0.3004414199006805	0.16829133713444913	1.839249586168843e-4	0.18355710869965056	0.23845870884679055	0.48887254000367847	6.135772660519643e-4	6
Rikenellaceae	23.436286052275833	2.785202829249864e-4	Kruskal-Wallis rank sum test	0	0.017656796027220895	0	0.004965973882655877	0	0.03365826742688983	0.0010305250468224496	6
Bacteroidaceae	20.481408610677985	0.0010146736511932523	Kruskal-Wallis rank sum test	0.18576420820305317	0.29280853411807983	0.4187971307706456	0.2413095457053522	3.678499172337686e-4	3.678499172337686e-4	0.0034129931903773033	6
Coriobacteriaceae	17.413373412436528	0.0037790151279184273	Kruskal-Wallis rank sum test	0.0015633621482435166	0.002207099503402612	5.51774875850653e-4	7.356998344675372e-4	9.196247930844215e-5	5.51774875850653e-4	0.011651963311081818	6
Bacteroidetes Unclassified	16.771266233766166	0.004954660943334471	Kruskal-Wallis rank sum test	0	0	0	0.00974802280669487	0	0	0.013094461064526816	6
Firmicutes Unclassified	16.929281904851806	0.0046358869909837366	Kruskal-Wallis rank sum test	0.0017472871068604009	0.0031267242964870333	0	0.0066212985102078355	0.0062534485929740665	3.678499172337686e-4	0.013094461064526816	6
Verrucomicrobiaceae	16.21301917896344	0.0062614923733978565	Kruskal-Wallis rank sum test	0.041291153209490526	0.1182637483906566	0.17013058672061798	0.03715284164061063	0.016369321316902705	0.17380908589295566	0.015445014521048047	6
Unclassified	15.334366045845258	0.009025223241224114	Kruskal-Wallis rank sum test	0.004782048924038992	1.839249586168843e-4	1.839249586168843e-4	0.0062534485929740665	0.004414199006805224	1.839249586168843e-4	0.020870828745330763	6
Oxalobacteraceae	14.887218045112824	0.010855265833541919	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.021197546145691217	6
Peptostreptococcaceae	14.88052415210693	0.010885226399138732	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.021197546145691217	6
Rhodospirillaceae	14.88052415210693	0.010885226399138732	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.021197546145691217	6
Burkholderiales Unclassified	35.48845470692715	1.2019898505358018e-6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.011403347434246827	2.4722536875446404e-5	7
Sutterellaceae	35.25805361733381	1.3363533446187245e-6	Kruskal-Wallis rank sum test	0	0	0.016737171234136473	0.0014713996689350744	0	0	2.4722536875446404e-5	7
Betaproteobacteria Unclassified	32.76279707495427	4.194393598146727e-6	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0025749494206363803	5.173085437714297e-5	7
Deferribacteraceae	32.12170472795648	5.6204944314626185e-6	Kruskal-Wallis rank sum test	0	0	0	0.008276623137759793	0.05260253816442891	0.004414199006805224	5.198957349102922e-5	7
Desulfovibrionaceae	27.4487980706895	4.663635832364129e-5	Kruskal-Wallis rank sum test	0	0	0	7.356998344675372e-4	0	0.0025749494206363803	3.4510905159494557e-4	7
Rikenellaceae	22.554205149607156	4.1065535437141926e-4	Kruskal-Wallis rank sum test	0	0.004965973882655877	0	0.03034761817178591	0	0.01324259702041567	0.002532374685290419	7
Erysipelotrichaceae	19.725631100925234	0.0014068643404949804	Kruskal-Wallis rank sum test	0.0016553246275519589	0.009012322972227331	0.06474158543314328	7.356998344675372e-4	0.004782048924038992	0.001103549751701306	0.007436282942616325	7
Bacteroidaceae	18.34722947889455	0.002541281198360424	Kruskal-Wallis rank sum test	0.2192385506713261	0.29096928453191095	0.4423395254736068	0.19330513150634543	3.678499172337686e-4	3.678499172337686e-4	0.00940274043393357	7
Bifidobacteriaceae	18.5558485038711	0.0023246976711695884	Kruskal-Wallis rank sum test	3.678499172337686e-4	1.839249586168843e-4	0	0	0	0	0.00940274043393357	7
Oxalobacteraceae	18.70129870129873	0.0021845148246430733	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0.00940274043393357	7
Verrucomicrobiaceae	15.70395583553477	0.007742140109653957	Kruskal-Wallis rank sum test	0.009012322972227331	0.0632701857642082	0.12745999632150082	0.016553246275519587	0.07623689534669856	0.11513702409416958	0.026041744005199673	7
Porphyromonadaceae	15.375216860937913	0.008873828943784088	Kruskal-Wallis rank sum test	0.36288394335111274	0.1699466617620011	0	0.26650726503586536	0.19404083134081296	0.4112562074673533	0.027360972576667603	7
Betaproteobacteria Unclassified	19.723756906077334	0.001408001852771203	Kruskal-Wallis rank sum test	0	0	0	0	0	0.004965973882655877	0.009811898753547002	8
Bifidobacteriaceae	19.10212765957447	0.0018397310162900629	Kruskal-Wallis rank sum test	0.0035865366930292438	8.276623137759794e-4	0	0	0	0	0.009811898753547002	8
Burkholderiales Unclassified	19.751037344398327	0.0013915332780705294	Kruskal-Wallis rank sum test	0	0	0	0	0	0.00809269817914291	0.009811898753547002	8
Deferribacteraceae	19.109516214779376	0.0018339056857352937	Kruskal-Wallis rank sum test	0	0	0	0.10290601434614677	0.03071546808901968	0.021887070075409232	0.009811898753547002	8
Deltaproteobacteria Unclassified	19.723756906077334	0.001408001852771203	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0020231745447857274	0.009811898753547002	8
Desulfovibrionaceae	19.775510204081627	0.001376920815997843	Kruskal-Wallis rank sum test	0	0	0	0.0033106492551039177	0	0.014622034210042304	0.009811898753547002	8
