genus	statistic	p.value	parameter	method	-1	0	1	2	3	4	5	6	7	8	9	p.value.adj
Bacteroidetes unclassified	14.640391078521263	0.14573289946267481	10	Kruskal-Wallis rank sum test	0.011718647363304342	0	0	0	0.0012874747103181902	5.254998817625266e-5	5.211207160811722e-4	6.831498462912845e-4	0.007251898368322867	0	0.0093801728894611	0.3260466679705769
Pseudomonadaceae unclassified	14.40717736369924	0.155215846453216	10	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0	0	0	0	0	0	0	2.627499408812633e-5	0.3260466679705769
Ruminococcus	14.40717736369924	0.155215846453216	10	Kruskal-Wallis rank sum test	1.57649964528758e-4	0	0	0	0	0	0	0	2.627499408812633e-5	0	0	0.3260466679705769
Alistipes	13.375043617631569	0.20345190584190587	10	Kruskal-Wallis rank sum test	0.024751044431015005	0	0.01246091594629391	0.009269817914290969	0.04724243937045114	0.04277569037546967	0.035926675249831404	0.02984839328411151	0.028114243674295172	0.02363435718226963	0.035707716965763685	0.3592874081888976
Asaccharobacter	13.411737472766964	0.20155320346532232	10	Kruskal-Wallis rank sum test	2.627499408812633e-5	0	4.5981239654221075e-5	3.678499172337686e-5	0	0	6.130831953896143e-5	0	0	9.196247930844215e-5	1.0509997635250532e-4	0.3592874081888976
Clostridium IV	13.541433746096779	0.19495404958762072	10	Kruskal-Wallis rank sum test	0.001103549751701306	0.0010422414321623445	0.0027128931395990433	0.0014346146772116976	4.203999054100213e-4	6.568748522031582e-4	0.0015940163080129975	0.0011298247457894321	6.568748522031582e-4	0.0014713996689350744	7.356998344675372e-4	0.3592874081888976
Clostridium sensu stricto	13.639957264957243	0.19005663332131897	10	Kruskal-Wallis rank sum test	0	3.0654159769480714e-5	6.897185948133162e-5	0	0	2.627499408812633e-5	0	0	0	0	2.627499408812633e-5	0.3592874081888976
Erysipelotrichaceae unclassified	13.654217190274963	0.18935600346424095	10	Kruskal-Wallis rank sum test	2.3647494679313697e-4	6.130831953896143e-5	3.2186867757954754e-4	1.4713996689350744e-4	7.094248403794109e-4	2.8902493496938965e-4	0.0011648580712402673	4.466748994981476e-4	4.7294989358627395e-4	1.3794371896266324e-4	6.568748522031583e-4	0.3592874081888976
Prevotella	13.676470588235208	0.1882667577840334	10	Kruskal-Wallis rank sum test	2.627499408812633e-5	1.2261663907792289e-4	0	0	0	2.627499408812633e-5	0	0	0	0	0	0.3592874081888976
Roseburia	13.43268927858856	0.20047534846563836	10	Kruskal-Wallis rank sum test	0	0	0	3.678499172337686e-5	0	2.627499408812633e-4	3.0654159769480714e-5	0	0	0	0	0.3592874081888976
Staphylococcus	12.573529411764772	0.2485028406501292	10	Kruskal-Wallis rank sum test	0	0	4.5981239654221075e-5	0	0	2.627499408812633e-5	0	0	0	0	0	0.42970282862418174
Bifidobacterium	12.229315413691667	0.27000244085306757	10	Kruskal-Wallis rank sum test	0	0	0.001448409049107964	0.002354239470296119	5.51774875850653e-4	0	0	0	0	0	0	0.44820405181609213
Lactobacillus	12.235084762815069	0.2696312515876944	10	Kruskal-Wallis rank sum test	0.04311726529861531	0.33658267426889826	0.08731837410336582	0.2300165532462755	0.088809480017867	0.14467011744922356	0.07706455766047453	0.06416353556320449	0.05265508815260517	0.06437373551590951	0.04027956593709767	0.44820405181609213
