otu	statistic	p.value	method	alternative	colonized	not_detectable	p.value.adj
Alistipes (OTU 100)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Prevotellaceae (OTU 101)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Lachnospiraceae (OTU 113)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Lachnospiraceae (OTU 122)	142.5	0.19176739819872374	Wilcoxon rank sum test with continuity correction	two.sided	2.16382304255158e-5	0	0.49459214835603094
Clostridiales (OTU 123)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Lachnospiraceae (OTU 127)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Acetatifactor (OTU 132)	110.5	0.13743277807395612	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.49459214835603094
Porphyromonadaceae (OTU 139)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Lachnospiraceae (OTU 146)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Firmicutes (OTU 147)	142.5	0.1919987161400521	Wilcoxon rank sum test with continuity correction	two.sided	3.24573456382737e-5	0	0.49459214835603094
Rhodospirillaceae (OTU 150)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Lachnospiraceae (OTU 151)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.49459214835603094
Clostridium (OTU 154)	76	0.015170972786419207	Wilcoxon rank sum test with continuity correction	two.sided	3.24573456382737e-5	0.0033842192385506713	0.49459214835603094
Bacteria (OTU 155)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Anaeroplasma (OTU 158)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Alistipes (OTU 161)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.49459214835603094
Lachnospiraceae (OTU 163)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Eisenbergiella (OTU 164)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Lachnospiraceae (OTU 167)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	2.16382304255158e-5	0	0.49459214835603094
Lachnospiraceae (OTU 169)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Clostridium (OTU 172)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Lachnospiraceae (OTU 177)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	3.24573456382737e-5	0	0.49459214835603094
Lachnospiraceae (OTU 179)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Clostridiales (OTU 187)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Erysipelotrichaceae (OTU 189)	142.5	0.3405689584890455	Wilcoxon rank sum test with continuity correction	two.sided	7.57338064893053e-5	1.2261663907792286e-5	0.49459214835603094
