cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
0.0025,L2_primal,0.01,0.7291111111111112,0.6116666666666667,0.6913333333333334,0.24204208817600487,0.36111282393441313,0.2663123899154702,L2_Logistic_Regression
0.005,L2_primal,0.01,0.7335277777777778,0.6126666666666667,0.693,0.23932504051589987,0.3559082391329242,0.26547181376020995,L2_Logistic_Regression
0.01,L2_primal,0.01,0.7389166666666667,0.6213333333333333,0.6921666666666666,0.23785132701039874,0.3531995814452654,0.26751134383911584,L2_Logistic_Regression
0.05,L2_primal,0.01,0.76475,0.662,0.6978333333333333,0.22713027124654556,0.35387664458308776,0.26955531925799675,L2_Logistic_Regression
0.1,L2_primal,0.01,0.7841944444444444,0.699,0.701,0.2234662680518587,0.35767672983282767,0.26612775371224473,L2_Logistic_Regression
0.25,L2_primal,0.01,0.7983611111111111,0.733,0.7068333333333333,0.2199885285965387,0.3464196424756273,0.26317536462421814,L2_Logistic_Regression
0.5,L2_primal,0.01,0.8116388888888889,0.7446666666666667,0.7073333333333334,0.2167259277417241,0.337027624511422,0.2603600439444257,L2_Logistic_Regression
1,L2_primal,0.01,0.8177777777777778,0.7563333333333333,0.7071666666666666,0.2155792901513636,0.3303370679931545,0.2603593490696322,L2_Logistic_Regression
10,L2_primal,0.01,0.8308055555555556,0.7776666666666666,0.7093333333333334,0.20701676887408585,0.3178801066299191,0.2627543672192021,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.7104444444444444,0.6616666666666666,0.6965,0.2590867365561267,0.36080438474684523,0.28412983842906575,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.7104444444444444,0.6616666666666666,0.6965,0.2590867365561267,0.36080438474684523,0.28412983842906575,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.7104444444444444,0.6616666666666666,0.6965,0.2590867365561267,0.36080438474684523,0.28412983842906575,L2_Logistic_Regression
0.001,L2_primal,0.01,0.7143611111111111,0.6603333333333333,0.697,0.2569655608864336,0.3606290738140537,0.2840032945198908,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.7191944444444445,0.661,0.7036666666666667,0.2561839081659631,0.3609487670977464,0.28375033167147057,L2_Logistic_Regression
0.005,L2_primal,0.01,0.7238333333333333,0.6623333333333333,0.7105,0.2521779680674226,0.3615836108530048,0.28062435360004784,L2_Logistic_Regression
0.01,L2_primal,0.01,0.7349166666666667,0.6676666666666666,0.7181666666666666,0.24844367465432002,0.35711600560700046,0.27666315560624744,L2_Logistic_Regression
0.05,L2_primal,0.01,0.7786388888888889,0.719,0.7403333333333333,0.23593264601953617,0.35498344851508434,0.26339826533455263,L2_Logistic_Regression
0.1,L2_primal,0.01,0.7962222222222222,0.7436666666666667,0.7408333333333333,0.2290835375497942,0.3491789842433039,0.2619592754430504,L2_Logistic_Regression
0.25,L2_primal,0.01,0.8053333333333333,0.7746666666666666,0.748,0.222183836586748,0.3407694281502954,0.25947079726572675,L2_Logistic_Regression
0.5,L2_primal,0.01,0.8189444444444445,0.7936666666666666,0.7498333333333334,0.21327577557290886,0.3312121889958005,0.2601480210853778,L2_Logistic_Regression
1,L2_primal,0.01,0.8286111111111111,0.799,0.7535,0.2079183873316488,0.324857332987596,0.25964253341273,L2_Logistic_Regression
10,L2_primal,0.01,0.8468333333333333,0.8143333333333334,0.7618333333333334,0.19623701348570247,0.3016415786170199,0.2548493711184599,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.6705833333333333,0.5153333333333333,0.7196666666666667,0.24617553144975465,0.3538892288325239,0.2658824892830022,L2_Logistic_Regression
