key	value	rank	sign
Otu084	-0.19175271210635064	31	negative
Otu002	-0.19035477815037638	32	negative
Otu085	-0.1837967806068187	33	negative
Otu021	-0.1513314735927899	34	negative
Otu008	-0.15024419028831762	35	negative
Otu024	0.14827508394238867	36	positive
Otu014	0.13691288048380162	37	positive
Otu009	0.12585558404734967	38	positive
Otu005	-0.08664518561468336	39	negative
Otu003	0.08051908904087998	40	positive
Otu023	0.037701014576950395	41	positive
Otu027	-0.03300542766016947	42	negative
Otu019	-0.03220387063274165	43	negative
Otu007	-0.019567342904070292	44	negative
Otu031	0	45	zero
Otu032	0	46	zero
Otu035	0	47	zero
Otu038	0	48	zero
Otu042	0	49	zero
Otu043	0	50	zero
Otu044	0	51	zero
Otu045	0	52	zero
Otu046	0	53	zero
Otu047	0	54	zero
Otu048	0	55	zero
Otu049	0	56	zero
Otu050	0	57	zero
Otu052	0	58	zero
Otu053	0	59	zero
Otu055	0	60	zero
Otu056	0	61	zero
Otu058	0	62	zero
Otu060	0	63	zero
Otu061	0	64	zero
Otu062	0	65	zero
Otu063	0	66	zero
Otu065	0	67	zero
Otu068	0	68	zero
Otu070	0	69	zero
Otu071	0	70	zero
Otu073	0	71	zero
Otu074	0	72	zero
Otu075	0	73	zero
Otu076	0	74	zero
Otu079	0	75	zero
Otu080	0	76	zero
Otu082	0	77	zero
Otu083	0	78	zero
Otu088	0	79	zero
Otu091	0	80	zero
Otu095	0	81	zero
Otu097	0	82	zero
Otu102	0	83	zero
Otu105	0	84	zero
Otu106	0	85	zero
Otu112	0	86	zero
Otu113	0	87	zero
Otu012	-0.6359438697561505	1	negative
Otu013	-0.6143897729539336	2	negative
Otu029	0.5507283718204672	3	positive
Otu023	-0.5139888989105672	4	negative
Otu015	0.40151771057100843	5	positive
Otu026	0.3456131691875418	6	positive
Otu020	-0.3398088994790357	7	negative
Otu024	0.31463582306902355	8	positive
Otu017	-0.30927835778121937	9	negative
Otu005	-0.30925597069111593	10	negative
Otu008	-0.3028681582985488	11	negative
Otu025	-0.29796543677111276	12	negative
Otu030	0.2913284011376391	13	positive
Otu075	-0.28502475719603276	14	negative
Otu085	-0.2791651475235922	15	negative
Otu039	-0.2716916412210226	16	negative
Otu001	-0.2562714143731991	17	negative
Otu010	0.24879444344642979	18	positive
Otu027	-0.23155949678471954	19	negative
Otu011	-0.20863653800857532	20	negative
Otu006	0.20108699694284216	21	positive
Otu016	0.1932209486000106	22	positive
Otu014	0.17552064651943808	23	positive
Otu040	-0.167899862513572	24	negative
Otu084	-0.167899862513572	25	negative
Otu009	0.16402323270306415	26	positive
Otu036	0.1630093833562694	27	positive
Otu022	-0.16070304398932733	28	negative
Otu007	-0.1340307855810923	29	negative
Otu037	-0.12416489644463535	30	negative
Otu003	0.11770722677038531	31	positive
Otu002	-0.10782950044795991	32	negative
Otu004	-0.10510168014509993	33	negative
Otu019	0.06468558905249364	34	positive
Otu028	-0.02788166491120041	35	negative
Otu018	-0.015020378272687835	36	negative
